date,hour,metric,price
2015-01-14,22,Avg. Price,20.54
2015-01-14,23,Avg. Price,18.22
2015-01-15,0,Avg. Price,9.98
2015-01-15,1,Avg. Price,16.79
2015-01-15,2,Avg. Price,13.14
2015-01-15,3,Avg. Price,15.27
2015-01-15,4,Avg. Price,18.55
2015-01-15,5,Avg. Price,17.55
2015-01-15,6,Avg. Price,20.45
2015-01-15,7,Avg. Price,20.58
2015-01-15,8,Avg. Price,21.58
2015-01-15,9,Avg. Price,22.3
2015-01-15,10,Avg. Price,27.6
2015-01-15,11,Avg. Price,21.83
2015-01-15,12,Avg. Price,21.28
2015-01-15,13,Avg. Price,20.45
2015-01-15,14,Avg. Price,20.13
2015-01-15,15,Avg. Price,20.01
2015-01-15,16,Avg. Price,21.52
2015-01-15,17,Avg. Price,24.15
2015-01-15,18,Avg. Price,22.63
2015-01-15,19,Avg. Price,24.38
2015-01-15,20,Avg. Price,25.13
2015-01-15,21,Avg. Price,26.72
2015-01-15,22,Avg. Price,22.97
2015-01-15,23,Avg. Price,23.63
2015-01-16,0,Avg. Price,24.56
2015-01-16,1,Avg. Price,21.11
2015-01-16,2,Avg. Price,17.28
2015-01-16,3,Avg. Price,15.52
2015-01-16,4,Avg. Price,19.04
2015-01-16,5,Avg. Price,21.97
2015-01-16,6,Avg. Price,29.69
2015-01-16,7,Avg. Price,32.29
2015-01-16,8,Avg. Price,38.73
2015-01-16,9,Avg. Price,34.39
2015-01-16,10,Avg. Price,31.58
2015-01-16,11,Avg. Price,26.39
2015-01-16,12,Avg. Price,24.44
2015-01-16,13,Avg. Price,30.23
2015-01-16,14,Avg. Price,31
2015-01-16,15,Avg. Price,31.3
2015-01-16,16,Avg. Price,34.39
2015-01-16,17,Avg. Price,36.84
2015-01-16,18,Avg. Price,28.85
2015-01-16,19,Avg. Price,23.73
2015-01-16,20,Avg. Price,22.19
2015-01-16,21,Avg. Price,22.38
2015-01-16,22,Avg. Price,21.55
2015-01-16,23,Avg. Price,22.75
2015-01-17,0,Avg. Price,25.58
2015-01-17,1,Avg. Price,23
2015-01-17,2,Avg. Price,21.72
2015-01-17,3,Avg. Price,16.94
2015-01-17,4,Avg. Price,18.79
2015-01-17,5,Avg. Price,21.45
2015-01-17,6,Avg. Price,22.19
2015-01-17,7,Avg. Price,21.59
2015-01-17,8,Avg. Price,25.32
2015-01-17,9,Avg. Price,26.48
2015-01-17,10,Avg. Price,27.01
2015-01-17,11,Avg. Price,26.48
2015-01-17,12,Avg. Price,25.59
2015-01-17,13,Avg. Price,19.31
2015-01-17,14,Avg. Price,18.34
2015-01-17,15,Avg. Price,20.72
2015-01-17,16,Avg. Price,24.01
2015-01-17,17,Avg. Price,32.49
2015-01-17,18,Avg. Price,28.28
2015-01-17,19,Avg. Price,27.3
2015-01-17,20,Avg. Price,33.92
2015-01-17,21,Avg. Price,35.81
2015-01-17,22,Avg. Price,34.9
2015-01-17,23,Avg. Price,35.52
2015-01-18,0,Avg. Price,30.16
2015-01-18,1,Avg. Price,29.47
2015-01-18,2,Avg. Price,29.47
2015-01-18,3,Avg. Price,28.81
2015-01-18,4,Avg. Price,25.7
2015-01-18,5,Avg. Price,22.09
2015-01-18,6,Avg. Price,22.65
2015-01-18,7,Avg. Price,22.63
2015-01-18,8,Avg. Price,24.71
2015-01-18,9,Avg. Price,24.24
2015-01-18,10,Avg. Price,21.43
2015-01-18,11,Avg. Price,21.09
2015-01-18,12,Avg. Price,21.39
2015-01-18,13,Avg. Price,21.69
2015-01-18,14,Avg. Price,22.12
2015-01-18,15,Avg. Price,22.9
2015-01-18,16,Avg. Price,23.53
2015-01-18,17,Avg. Price,31.06
2015-01-18,18,Avg. Price,31.77
2015-01-18,19,Avg. Price,29.47
2015-01-18,20,Avg. Price,26.75
2015-01-18,21,Avg. Price,23.75
2015-01-18,22,Avg. Price,21.65
2015-01-18,23,Avg. Price,19.1
2015-01-19,0,Avg. Price,14.8
2015-01-19,1,Avg. Price,19.01
2015-01-19,2,Avg. Price,19.48
2015-01-19,3,Avg. Price,20.01
2015-01-19,4,Avg. Price,20.01
2015-01-19,5,Avg. Price,20.21
2015-01-19,6,Avg. Price,20.44
2015-01-19,7,Avg. Price,21.64
2015-01-19,8,Avg. Price,25.75
2015-01-19,9,Avg. Price,26.48
2015-01-19,10,Avg. Price,28.1
2015-01-19,11,Avg. Price,26.41
2015-01-19,12,Avg. Price,24.23
2015-01-19,13,Avg. Price,22.72
2015-01-19,14,Avg. Price,21.49
2015-01-19,15,Avg. Price,21.18
2015-01-19,16,Avg. Price,21.24
2015-01-19,17,Avg. Price,22.79
2015-01-19,18,Avg. Price,21.86
2015-01-19,19,Avg. Price,21.07
2015-01-19,20,Avg. Price,21.07
2015-01-19,21,Avg. Price,20.83
2015-01-19,22,Avg. Price,18.92
2015-01-19,23,Avg. Price,15.44
2015-01-20,0,Avg. Price,13.66
2015-01-20,1,Avg. Price,11.56
2015-01-20,2,Avg. Price,15.57
2015-01-20,3,Avg. Price,17.85
2015-01-20,4,Avg. Price,18.82
2015-01-20,5,Avg. Price,19.72
2015-01-20,6,Avg. Price,20.33
2015-01-20,7,Avg. Price,27.21
2015-01-20,8,Avg. Price,33.11
2015-01-20,9,Avg. Price,31.21
2015-01-20,10,Avg. Price,31.12
